Defense,Model,Traces,BER,BERERR,Accuracy,ACCERR,MI,MIERR
tamaraw,df,90,0.835,0.015,0.039,0.004,0.978,0.037
tamaraw,df,100,0.839,0.006,0.01,0,0.929,0.023
tamaraw,df,500,0.846,0.009,0.052,0.002,0.293,0.027
tamaraw,df,1000,0.844,0.004,,,0.131,0.164
tamaraw,df,2000,0.848,0.009,0.05,0.001,0.085,0.051
tamaraw,df,4500,0.854,0.011,0.052,0.001,0,0
tamaraw,k-FP,4500,,,0.068,0.001,,
tamaraw,tf,100,0.852,0.009,0.029,0.003,0.949,0.013
tamaraw,tf,500,0.859,0.008,0.028,0.002,0.274,0.022
tamaraw,tf,1000,0.855,0.005,0.028,0.001,0,0
tamaraw,tf,2000,0.853,0.009,0.029,0.003,0,0
tamaraw,tf,4500,0.861,0.012,0.025,0.003,0,0
tamaraw,var_cnn,100,0.843,0.008,0.04,0.007,,
tamaraw,var_cnn,500,0.86,0.009,0.05,0.003,,
tamaraw,var_cnn,1000,0.858,0.007,0.051,0.002,,
tamaraw,var_cnn,2000,0.852,0.009,0.051,0.002,,
tamaraw,var_cnn,4500,0.863,0.011,0.04,0.02,,
wtfpad,Tik-Tok,60,,,,,,
wtfpad,Tik-Tok,90,,,,,,
wtfpad,Tik-Tok,100,,,0.575,0.013,,
wtfpad,Tik-Tok,500,,,0.852,0.005,,
wtfpad,Tik-Tok,1000,,,0.889,0.003,,
wtfpad,Tik-Tok,2000,,,0.916,0.004,,
wtfpad,Tik-Tok,4500,,,0.935,0.002,,
wtfpad,awf_cnn,100,0.504,0.03,0.184,0.016,2.638,0.219
wtfpad,awf_cnn,500,0.393,0.005,0.431,0.007,4.058,0.027
wtfpad,awf_cnn,1000,0.32,0.003,0.483,0.008,4.532,0.017
wtfpad,awf_cnn,2000,0.266,0.004,0.534,0.009,4.893,0.018
wtfpad,awf_cnn,4500,0.199,0.002,0.625,0.009,5.18,0.016
wtfpad,df,60,0.34,0.006,,,4,0
wtfpad,df,90,0.263,0.012,0.63,,4.82,0.1
wtfpad,df,100,0.243,0.007,0.577,0.024,4.993,0.045
wtfpad,df,500,0.094,0.004,0.845,0.005,6.005,0.013
wtfpad,df,1000,0.07,0.001,0.88,0.004,6.173,0.009
wtfpad,df,2000,0.04,0.008,0.908,0.002,6.376,0.059
wtfpad,df,4500,0.042,0.002,0.926,0.001,6.36,0
wtfpad,k-FP,4500,,,0.67,0,,
wtfpad,tf,100,0.534,0.013,0.219,0.011,3.536,0.044
wtfpad,tf,500,0.386,0.031,0.36,0.007,4.448,0.155
wtfpad,tf,1000,0.361,0.011,0.408,0.016,4.583,0.07
wtfpad,tf,2000,0.307,0.009,0.481,0.013,4.861,0.043
wtfpad,tf,4500,0.259,0.013,0.546,0.02,5.103,0.067
wtfpad,var_cnn,100,0.291,0.092,0.481,0.047,,
wtfpad,var_cnn,500,0.068,0.003,0.89,0.005,,
wtfpad,var_cnn,1000,0.041,0.002,0.937,0.005,,
wtfpad,var_cnn,2000,0.031,0.002,0.956,0.002,,
wtfpad,var_cnn,4500,0.022,0.001,0.967,0.001,,
